Customer ID,Customer_ID,recency_days,frequency,monetary,row_count,avg_revenue,return_rate,outlier_rate
row_0,row_0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1,row_1,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_10,row_10,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_100,row_100,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1000,row_1000,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1001,row_1001,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1002,row_1002,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1003,row_1003,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1004,row_1004,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1005,row_1005,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1006,row_1006,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1007,row_1007,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1008,row_1008,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1009,row_1009,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_101,row_101,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1010,row_1010,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1011,row_1011,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1012,row_1012,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1013,row_1013,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1014,row_1014,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1015,row_1015,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1016,row_1016,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1017,row_1017,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1018,row_1018,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1019,row_1019,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_102,row_102,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1020,row_1020,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1021,row_1021,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1022,row_1022,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1023,row_1023,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1024,row_1024,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1025,row_1025,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1026,row_1026,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1027,row_1027,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1028,row_1028,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1029,row_1029,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_103,row_103,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1030,row_1030,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1031,row_1031,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1032,row_1032,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1033,row_1033,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1034,row_1034,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1035,row_1035,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1036,row_1036,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1037,row_1037,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1038,row_1038,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1039,row_1039,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_104,row_104,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1040,row_1040,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1041,row_1041,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1042,row_1042,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1043,row_1043,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1044,row_1044,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1045,row_1045,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1046,row_1046,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1047,row_1047,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1048,row_1048,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1049,row_1049,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_105,row_105,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1050,row_1050,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1051,row_1051,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1052,row_1052,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1053,row_1053,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1054,row_1054,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1055,row_1055,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1056,row_1056,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1057,row_1057,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1058,row_1058,0.0,1.0,0.0,1.0,0.0,0.0,0.0
row_1059,row_1059,0.0,1.0,0.0,1.0,0.0,0.0,0.0
