survey_id,source_status,country_code,country_name,survey_year,wb_region,province_code,province_name,thai_region,firm_id,strata_region,strata_size,strata_sector,industry_isic_like,legal_status,years_operating,permanent_full_time_workers,temporary_workers,female_full_time_workers_pct,female_top_manager,female_ownership,foreign_ownership_pct,private_domestic_ownership_pct,state_ownership_pct,exporter_direct,direct_exports_pct_sales,indirect_exports_pct_sales,annual_sales_million_thb,sales_growth_pct,capacity_utilization_pct,labor_productivity_thb_per_worker,uses_email,has_website,uses_digital_payments,introduced_new_product,has_international_quality_certification,uses_foreign_licensed_technology,formal_training,power_outages_count_year,losses_due_power_outages_pct_sales,generator_owned,water_insufficiencies_count_year,days_to_get_electricity,days_to_get_construction_permit,days_to_clear_exports_customs,senior_management_time_regulation_pct,informal_payments_expected,security_costs_pct_sales,losses_due_theft_pct_sales,checking_savings_account,line_of_credit_or_loan,loan_rejected_recently,working_capital_financed_by_banks_pct,working_capital_financed_by_supplier_credit_pct,investment_financed_by_banks_pct,collateral_required,collateral_value_pct_loan,tax_rate_obstacle,tax_administration_obstacle,customs_trade_regulations_obstacle,labor_regulations_obstacle,inadequately_educated_workforce_obstacle,access_to_finance_obstacle,electricity_obstacle,transport_obstacle,political_instability_obstacle,corruption_obstacle,informal_competition_obstacle,practices_of_informal_competitors_pct,court_system_obstacle,crime_theft_disorder_obstacle,province_gpp_per_capita_proxy_thb,province_population_proxy_million,province_agriculture_share_proxy,province_industry_share_proxy,province_services_share_proxy,province_urbanization_proxy,weight
THA_SIM_ES_2026,Simulated from public World Bank metadata,THA,Thailand,2026,East Asia & Pacific,TH-01,Bangkok,Central,THA-01-001,Central,small,services,hotel_restaurant,limited_company,2,30,3,40.1,0,0,11.6,88.4,0,0,0.0,0.0,5.55,12.6,81.6,184941,1,1,0,0,0,0,0,6.0,1.51,0,3.2,16,63,4,11.0,0,1.44,0.68,1,1,0,49.4,8.2,34.5,1,142.3,1,0,0,0,0,0,1,0,1,0,1,28.3,1,0,1053900,5.5,0.02,0.26,0.72,1.0,7.2305
THA_SIM_ES_2026,Simulated from public World Bank metadata,THA,Thailand,2026,East Asia & Pacific,TH-01,Bangkok,Central,THA-01-002,Central,small,services,transport_logistics,sole_proprietorship,17,20,0,45.9,0,1,11.6,88.4,0,0,0.0,0.0,2.42,8.8,83.1,120792,1,0,0,1,0,0,0,6.4,1.79,0,4.8,20,62,5,11.3,0,1.94,0.2,1,1,0,43.4,9.4,32.7,1,149.2,1,0,0,0,0,1,0,0,0,0,0,28.6,1,0,1053900,5.5,0.02,0.26,0.72,1.0,6.182
THA_SIM_ES_2026,Simulated from public World Bank metadata,THA,Thailand,2026,East Asia & Pacific,TH-01,Bangkok,Central,THA-01-003,Central,small,services,retail_trade,partnership,4,25,1,42.7,0,0,11.6,88.4,0,0,0.0,0.0,3.54,13.1,77.0,141558,1,1,1,0,0,0,1,6.4,1.93,0,3.1,16,56,5,12.6,0,1.99,0.13,1,1,0,46.3,10.7,36.6,1,145.6,1,0,0,0,0,0,0,0,1,0,1,28.3,0,1,1053900,5.5,0.02,0.26,0.72,1.0,9.3923
THA_SIM_ES_2026,Simulated from public World Bank metadata,THA,Thailand,2026,East Asia & Pacific,TH-01,Bangkok,Central,THA-01-004,Central,small,services,retail_trade,limited_company,17,32,2,43.7,1,1,11.6,88.4,0,0,0.0,0.0,4.28,13.0,84.3,133631,1,1,1,0,0,0,0,6.7,2.2,0,5.1,19,56,3,10.6,0,1.41,0.24,1,1,0,48.2,11.5,37.7,1,133.4,0,0,0,0,0,0,0,0,0,0,1,30.4,0,0,1053900,5.5,0.02,0.26,0.72,1.0,8.9821
THA_SIM_ES_2026,Simulated from public World Bank metadata,THA,Thailand,2026,East Asia & Pacific,TH-01,Bangkok,Central,THA-01-005,Central,small,services,hotel_restaurant,sole_proprietorship,23,24,1,47.2,0,1,11.6,88.4,0,0,0.0,0.0,3.54,11.6,75.9,147601,1,1,0,0,0,0,0,5.7,1.22,0,3.4,20,57,3,12.8,0,1.73,0.65,1,1,0,40.6,5.7,39.9,0,131.5,1,0,0,1,0,1,1,0,0,0,1,30.7,0,0,1053900,5.5,0.02,0.26,0.72,1.0,6.7808
THA_SIM_ES_2026,Simulated from public World Bank metadata,THA,Thailand,2026,East Asia & Pacific,TH-01,Bangkok,Central,THA-01-006,Central,small,services,business_services,partnership,27,36,2,45.8,0,0,11.6,88.4,0,0,0.0,0.0,4.45,9.0,77.9,123520,0,1,0,1,0,0,0,5.3,1.37,1,3.6,16,57,3,13.3,0,1.85,0.33,1,1,0,48.3,13.1,34.5,0,130.0,1,0,0,0,1,0,0,1,0,0,1,27.5,0,0,1053900,5.5,0.02,0.26,0.72,1.0,5.8547
THA_SIM_ES_2026,Simulated from public World Bank metadata,THA,Thailand,2026,East Asia & Pacific,TH-01,Bangkok,Central,THA-01-007,Central,small,services,business_services,limited_company,29,29,1,41.8,1,0,11.6,88.4,0,0,0.0,0.0,3.35,12.3,80.4,115537,1,1,1,1,0,0,1,6.6,2.13,0,4.8,17,54,3,13.5,0,1.31,0.71,1,0,1,21.2,8.3,14.9,0,,0,0,0,0,0,0,0,0,0,0,0,31.4,0,0,1053900,5.5,0.02,0.26,0.72,1.0,7.2003
THA_SIM_ES_2026,Simulated from public World Bank metadata,THA,Thailand,2026,East Asia & Pacific,TH-01,Bangkok,Central,THA-01-008,Central,medium,services,retail_trade,sole_proprietorship,22,35,3,42.4,1,0,11.6,88.4,0,0,0.0,0.0,4.43,13.7,78.5,126569,1,1,0,1,0,0,1,6.7,2.1,0,3.6,13,62,6,14.2,0,1.23,0.84,1,1,0,48.3,9.5,33.4,1,136.7,0,1,0,1,0,1,0,0,0,0,0,29.0,0,1,1053900,5.5,0.02,0.26,0.72,1.0,7.6424
THA_SIM_ES_2026,Simulated from public World Bank metadata,THA,Thailand,2026,East Asia & Pacific,TH-01,Bangkok,Central,THA-01-009,Central,medium,manufacturing,food_products,partnership,15,43,3,46.4,0,0,11.6,88.4,0,0,0.0,0.0,10.34,6.3,81.2,240403,1,0,1,1,0,0,0,6.3,1.87,1,3.8,18,63,6,14.3,0,1.92,0.36,1,1,0,47.4,16.6,41.6,1,131.0,1,0,0,0,1,0,0,0,0,0,0,29.2,0,0,1053900,5.5,0.02,0.26,0.72,1.0,6.4187
THA_SIM_ES_2026,Simulated from public World Bank metadata,THA,Thailand,2026,East Asia & Pacific,TH-01,Bangkok,Central,THA-01-010,Central,large,services,transport_logistics,limited_company,14,283,19,45.7,1,1,11.6,88.4,0,0,0.0,0.0,47.16,7.9,84.2,166640,0,1,1,0,0,0,1,6.9,1.91,1,4.4,16,49,5,10.5,0,1.21,0.48,1,1,0,49.5,14.6,39.7,1,148.4,1,0,0,0,0,0,0,0,0,0,0,30.3,0,0,1053900,5.5,0.02,0.26,0.72,1.0,5.2262
THA_SIM_ES_2026,Simulated from public World Bank metadata,THA,Thailand,2026,East Asia & Pacific,TH-02,Samut Prakan,Central,THA-02-001,Central,small,manufacturing,garments,sole_proprietorship,10,36,2,36.9,0,0,14.6,85.4,0,0,0.0,16.8,4.67,6.8,85.0,129847,1,1,1,1,0,0,0,7.0,2.23,1,4.7,18,53,4,10.3,0,1.36,0.84,0,1,0,44.2,5.4,42.8,1,143.7,0,1,0,0,0,0,1,0,0,0,0,28.8,0,0,704900,1.36,0.02,0.6,0.38,0.95,1.9689
THA_SIM_ES_2026,Simulated from public World Bank metadata,THA,Thailand,2026,East Asia & Pacific,TH-02,Samut Prakan,Central,THA-02-002,Central,small,manufacturing,chemicals_plastics,partnership,17,32,3,38.9,0,0,14.6,85.4,0,0,0.0,5.7,3.63,9.5,77.2,113464,1,1,1,0,0,0,0,7.1,1.66,1,4.2,20,47,6,12.9,0,1.7,0.22,1,1,0,48.7,7.7,44.3,1,147.5,0,0,0,0,1,0,0,0,0,0,1,30.5,0,0,704900,1.36,0.02,0.6,0.38,0.95,1.7253
THA_SIM_ES_2026,Simulated from public World Bank metadata,THA,Thailand,2026,East Asia & Pacific,TH-02,Samut Prakan,Central,THA-02-003,Central,small,services,hotel_restaurant,limited_company,26,28,1,39.5,0,0,14.6,85.4,0,0,0.0,16.2,6.23,11.7,81.6,222325,1,0,1,0,0,0,0,7.0,2.06,0,4.1,13,51,5,11.0,0,1.54,0.33,1,1,0,44.2,16.5,37.2,1,146.5,0,0,0,1,0,0,1,0,0,0,1,28.2,0,0,704900,1.36,0.02,0.6,0.38,0.95,1.4518
THA_SIM_ES_2026,Simulated from public World Bank metadata,THA,Thailand,2026,East Asia & Pacific,TH-02,Samut Prakan,Central,THA-02-004,Central,small,manufacturing,construction_materials,sole_proprietorship,28,26,2,38.5,0,0,14.6,85.4,0,0,0.0,10.2,3.39,10.2,77.0,130423,1,1,1,1,0,0,0,6.1,1.18,0,4.9,13,45,5,10.9,0,1.78,0.72,1,1,0,42.9,17.4,37.2,0,145.6,1,0,0,0,0,0,1,0,0,0,0,31.5,0,0,704900,1.36,0.02,0.6,0.38,0.95,1.6377
THA_SIM_ES_2026,Simulated from public World Bank metadata,THA,Thailand,2026,East Asia & Pacific,TH-02,Samut Prakan,Central,THA-02-005,Central,small,manufacturing,food_products,partnership,12,38,1,32.5,1,1,14.6,85.4,0,0,0.0,17.7,4.08,11.5,84.3,107393,1,1,1,0,1,1,1,6.3,1.63,0,4.5,13,48,7,14.0,0,1.69,0.22,1,0,0,21.5,12.0,20.0,0,,0,0,0,0,0,0,0,0,0,0,0,31.6,0,1,704900,1.36,0.02,0.6,0.38,0.95,2.2313
THA_SIM_ES_2026,Simulated from public World Bank metadata,THA,Thailand,2026,East Asia & Pacific,TH-02,Samut Prakan,Central,THA-02-006,Central,small,agro_processing,agro_processing,limited_company,11,22,2,32.8,0,0,14.6,85.4,0,0,0.0,11.8,2.46,7.9,81.8,111976,1,1,1,0,0,0,0,6.0,1.52,1,4.8,19,56,5,10.6,0,1.24,0.49,1,1,0,44.5,7.1,37.1,0,142.7,1,0,1,0,0,1,0,1,0,0,0,31.8,0,0,704900,1.36,0.02,0.6,0.38,0.95,1.4338
THA_SIM_ES_2026,Simulated from public World Bank metadata,THA,Thailand,2026,East Asia & Pacific,TH-02,Samut Prakan,Central,THA-02-007,Central,small,manufacturing,chemicals_plastics,sole_proprietorship,10,31,2,37.1,0,1,19.6,80.4,0,1,34.3,11.7,6.64,6.3,85.5,214263,1,0,1,0,1,0,0,6.4,1.74,0,4.0,16,62,11,14.2,0,1.75,0.22,1,0,1,19.5,13.1,15.9,0,,1,1,0,0,1,0,0,0,0,0,0,30.3,0,0,704900,1.36,0.02,0.6,0.38,0.95,1.9616
THA_SIM_ES_2026,Simulated from public World Bank metadata,THA,Thailand,2026,East Asia & Pacific,TH-02,Samut Prakan,Central,THA-02-008,Central,medium,manufacturing,fabricated_metals,partnership,26,68,5,34.7,1,0,19.6,80.4,0,1,27.7,5.0,8.72,11.4,83.5,128184,1,1,1,0,0,0,1,6.5,1.92,1,3.3,17,57,11,13.6,0,1.81,0.56,0,1,0,44.9,11.7,40.7,1,142.7,0,0,0,0,0,0,1,0,0,0,0,30.7,1,0,704900,1.36,0.02,0.6,0.38,0.95,1.5279
