Customer ID,recency_days,frequency,monetary,total_quantity,avg_unit_price,first_purchase,last_purchase,distinct_products,return_rows,tenure_days,avg_order_value,purchase_freq_per_30d,clv_proxy,is_high_value,is_churned_180d,grain
12346.0,326,12,77556.46,74285,6.1000000000000005,2009-12-14 08:33:59.615999809,2011-01-18 10:00:59.903999956,27,0,400,6463.038333333334,0.8372093023255813,77556.46,1,1,customer
12347.0,2,8,5633.32,3286,2.546086956521739,2010-10-31 14:19:59.808000285,2011-12-07 15:51:59.904000077,126,0,402,704.165,0.5555555555555556,5633.32,1,0,customer
12348.0,75,5,2019.4,2714,3.7862745098039214,2010-09-27 14:59:00.383999930,2011-09-25 13:12:59.615999688,25,0,362,403.88,0.3826530612244898,2019.4,0,0,customer
12349.0,19,4,4428.6900000000005,1624,8.459657142857143,2010-04-29 13:20:00.384000060,2011-11-21 09:51:00.288000017,138,0,570,1107.1725,0.2,4428.6900000000005,1,0,customer
12350.0,310,1,334.40000000000003,197,3.841176470588235,2011-02-02 16:00:59.903999956,2011-02-02 16:00:59.903999956,17,0,0,334.40000000000003,1.0,334.40000000000003,0,1,customer
12351.0,375,1,300.93,261,2.355238095238095,2010-11-29 15:22:59.808000034,2010-11-29 15:22:59.808000034,21,0,0,300.93,1.0,300.93,0,1,customer
12352.0,36,10,2849.84,724,13.676796116504857,2010-11-12 10:20:00.384000060,2011-11-03 14:37:00.191999965,70,0,356,284.98400000000004,0.7772020725388601,2849.84,0,0,customer
12353.0,204,2,406.76,212,2.6283333333333334,2010-10-27 12:44:00.383999930,2011-05-19 17:46:59.807999904,23,0,204,203.38,0.2564102564102564,406.76,0,1,customer
12354.0,232,1,1079.4,530,4.5037931034482765,2011-04-21 13:11:00.384000190,2011-04-21 13:11:00.384000190,58,0,0,1079.4,1.0,1079.4,0,1,customer
12355.0,214,2,947.61,543,3.069428571428572,2010-05-21 11:59:00.383999930,2011-05-09 13:48:59.615999809,35,0,353,473.805,0.1566579634464751,947.61,0,1,customer
12356.0,23,6,6373.68,3417,3.1486013986013988,2010-10-11 09:42:00.288000138,2011-11-17 08:39:59.903999827,104,0,401,1062.28,0.4176334106728538,6373.68,1,0,customer
12357.0,33,3,18287.66,6587,6.196993243243243,2010-11-16 10:05:00.096000172,2011-11-06 16:07:00.191999965,261,0,355,6095.886666666666,0.2337662337662337,18287.66,1,0,customer
12358.0,2,5,3887.07,1079,5.368051948051948,2009-12-08 07:59:00.096000043,2011-12-08 10:25:59.807999784,56,0,730,777.414,0.1973684210526315,3887.07,1,0,customer
12359.0,58,10,8935.94,2752,7.374109589041097,2009-12-05 13:32:00.095999792,2011-10-13 12:47:00.095999792,305,0,676,893.594,0.4249291784702549,8935.94,1,0,customer
12360.0,52,8,4252.89,2459,3.2079723502304147,2010-02-22 09:31:59.807999904,2011-10-18 15:22:00.191999965,160,0,603,531.61125,0.3791469194312796,4252.89,1,0,customer
12361.0,287,4,511.25,235,3.8706896551724137,2010-01-26 14:37:00.191999965,2011-02-25 13:50:59.712000241,18,0,394,127.8125,0.2830188679245283,511.25,0,1,customer
12362.0,3,11,5356.2300000000005,2230,4.413071161048689,2009-12-01 10:09:59.903999827,2011-12-06 15:40:00.191999714,201,0,735,486.93000000000006,0.4313725490196078,5356.2300000000005,1,0,customer
12363.0,110,2,552.0,408,2.3117391304347827,2011-04-11 13:29:00.383999930,2011-08-22 10:18:00.288000267,23,0,132,276.0,0.3703703703703703,552.0,0,0,customer
12364.0,8,4,1313.1,1506,1.910235294117647,2011-08-19 15:24:00.287999758,2011-12-02 10:21:59.616000190,70,0,104,328.275,0.8955223880597015,1313.1,0,0,customer
12365.0,291,2,641.38,174,17.150454545454547,2011-02-21 13:50:59.712000241,2011-02-21 14:03:59.903999706,22,0,0,320.69,2.0,641.38,0,1,customer
12366.0,634,1,500.24,296,1.6900000000000002,2010-03-16 10:27:59.904000207,2010-03-16 10:27:59.904000207,3,0,0,500.24,1.0,500.24,0,1,customer
12367.0,4,1,168.9,173,3.2,2011-12-05 16:47:59.999999749,2011-12-05 16:47:59.999999749,11,0,0,168.9,1.0,168.9,0,0,customer
12368.0,628,1,917.7,330,4.391666666666667,2010-03-21 15:56:00.096000293,2010-03-21 15:56:00.096000293,18,0,0,917.7,1.0,917.7,0,1,customer
12369.0,413,3,1791.15,1241,3.148924731182796,2010-03-08 08:08:59.711999982,2010-10-22 13:12:59.615999688,90,0,228,597.0500000000001,0.3488372093023256,1791.15,0,1,customer
12370.0,51,7,4320.31,2605,3.4257920792079206,2010-02-09 09:40:59.807999784,2011-10-19 14:51:00.000000129,168,0,617,617.1871428571429,0.3245749613601236,4320.31,1,0,customer
12371.0,45,5,4067.38,1436,3.9876047904191614,2010-03-04 18:22:59.808000034,2011-10-26 10:16:00.191999844,134,0,600,813.476,0.238095238095238,4067.38,1,0,customer
12372.0,72,3,1298.04,794,3.001346153846154,2011-02-16 12:45:59.616000069,2011-09-29 12:11:59.711999732,34,0,224,432.68,0.3543307086614173,1298.04,0,0,customer
12373.0,311,3,1127.65,516,4.627450980392157,2010-02-04 12:08:00.383999809,2011-02-01 13:09:59.903999827,36,0,362,375.8833333333334,0.2295918367346938,1127.65,0,1,customer
12374.0,25,4,2989.2200000000003,1362,3.47855421686747,2010-04-30 14:01:00.191999844,2011-11-14 15:36:59.616000190,79,0,563,747.3050000000001,0.2023608768971332,2989.2200000000003,1,0,customer
12375.0,11,2,457.5,178,6.912941176470589,2011-09-02 14:23:00.383999809,2011-11-29 10:36:00.288000017,14,0,87,228.75,0.5128205128205129,457.5,0,0,customer
12376.0,390,2,503.15,240,8.03076923076923,2010-10-18 08:42:00.000000250,2010-11-15 12:15:00.287999887,11,0,28,251.575,1.0344827586206895,503.15,0,1,customer
12377.0,315,4,3426.32,2105,2.7402631578947365,2010-04-29 15:33:59.903999706,2011-01-28 15:45:00.000000000,129,0,274,856.58,0.3947368421052631,3426.32,1,1,customer
12378.0,130,2,5416.32,3316,3.380099667774086,2010-05-26 14:06:59.616000190,2011-08-02 10:34:00.192000216,281,0,432,2708.16,0.1298701298701298,5416.32,1,0,customer
12379.0,82,4,1620.22,815,2.9080246913580248,2010-06-23 12:49:00.192000216,2011-09-19 10:09:00.287999758,58,0,452,405.055,0.2489626556016597,1620.22,0,0,customer
12380.0,22,11,9676.3,3355,9.894657039711191,2010-02-15 12:04:59.808000285,2011-11-18 11:26:59.711999732,156,0,640,879.6636363636364,0.4925373134328358,9676.3,1,0,customer
