Customer ID,Customer_ID,recency_days,frequency,monetary,row_count,avg_revenue,country,return_rate,outlier_rate
18102.0,18102.0,0.0,153.0,570380.61,1050.0,543.2196285714285,United Kingdom,0.009523809523809525,0.9161904761904762
14646.0,14646.0,0.0,164.0,523119.53,3887.0,134.5818188834577,Netherlands,0.00926164136866478,0.796501157705171
14156.0,14156.0,0.0,202.0,296037.44,4114.0,71.95854156538648,EIRE,0.019445794846864366,0.34297520661157027
14911.0,14911.0,0.0,510.0,265757.91,11444.0,23.222466794826982,EIRE,0.03189444250262146,0.21295001747640685
17450.0,17450.0,0.0,61.0,231667.87,440.0,526.5178863636363,United Kingdom,0.04318181818181818,0.7045454545454546
13694.0,13694.0,0.0,164.0,190020.84,1551.0,122.51504835589942,United Kingdom,0.020631850419084462,0.9393939393939394
17511.0,17511.0,0.0,85.0,168491.62,2077.0,81.12259027443427,United Kingdom,0.1006259027443428,0.7072701011073664
12415.0,12415.0,0.0,33.0,143269.29,990.0,144.71645454545455,Australia,0.06262626262626263,0.7747474747474747
16684.0,16684.0,0.0,65.0,141502.25,749.0,188.92156208277703,United Kingdom,0.04138851802403204,0.8237650200267023
15061.0,15061.0,0.0,138.0,124961.98,909.0,137.47192519251925,United Kingdom,0.0121012101210121,0.8591859185918592
15311.0,15311.0,0.0,270.0,111649.68000000001,4562.0,24.47384480491013,United Kingdom,0.05962297238053485,0.1863217886891714
13089.0,13089.0,0.0,247.0,109692.99,3388.0,32.376915584415585,United Kingdom,0.022136953955135773,0.30814639905548996
17949.0,17949.0,0.0,138.0,97338.89,178.0,546.8476966292135,United Kingdom,0.1348314606741573,0.9943820224719101
16029.0,16029.0,0.0,125.0,91303.87,402.0,227.12405472636814,United Kingdom,0.08208955223880597,0.9104477611940298
14298.0,14298.0,0.0,84.0,90489.31,2868.0,31.551363319386333,United Kingdom,0.001394700139470014,0.5875174337517434
15769.0,15769.0,0.0,51.0,84177.58,242.0,347.8412396694215,United Kingdom,0.07851239669421488,0.9834710743801653
13798.0,13798.0,0.0,125.0,72587.51,904.0,80.29591814159292,United Kingdom,0.20575221238938052,0.6438053097345132
15838.0,15838.0,0.0,38.0,71975.01,209.0,344.37803827751196,United Kingdom,0.019138755980861243,0.9808612440191388
12931.0,12931.0,0.0,71.0,71128.77,277.0,256.78256317689534,United Kingdom,0.22021660649819494,0.9566787003610109
17841.0,17841.0,0.0,289.0,65840.2,12366.0,5.324292414685427,United Kingdom,0.016415979298075367,0.029031214620734273
14088.0,14088.0,0.0,20.0,62400.02,686.0,90.96212827988337,United Kingdom,0.0058309037900874635,0.4650145772594752
16422.0,16422.0,0.0,146.0,59493.94,742.0,80.18051212938006,United Kingdom,0.05929919137466307,0.7533692722371967
14096.0,14096.0,0.0,34.0,56946.43,5097.0,11.172538748283303,United Kingdom,0.0033352952717284677,0.05983912105159898
13081.0,13081.0,0.0,44.0,55961.37,2356.0,23.752703735144312,United Kingdom,0.030560271646859084,0.29244482173174874
17389.0,17389.0,0.0,77.0,54577.68,447.0,122.09771812080537,United Kingdom,0.040268456375838924,0.4988814317673378
16754.0,16754.0,0.0,35.0,54558.18,165.0,330.65563636363635,United Kingdom,0.15151515151515152,1.0
13093.0,13093.0,0.0,88.0,53274.33,1098.0,48.5194262295082,United Kingdom,0.05555555555555555,0.43989071038251365
14680.0,14680.0,0.0,87.0,52913.42,1427.0,37.08018220042046,United Kingdom,0.11492641906096707,0.25718290119131043
17850.0,17850.0,0.0,159.0,50463.12,2522.0,20.009167327517844,United Kingdom,0.009119746233148296,0.02577319587628866
16013.0,16013.0,0.0,94.0,49770.92,243.0,204.81860082304527,United Kingdom,0.12757201646090535,0.6995884773662552
13408.0,13408.0,0.0,135.0,49404.702,856.0,57.715773364485976,United Kingdom,0.035046728971962614,0.616822429906542
13777.0,13777.0,0.0,73.0,49208.51,396.0,124.26391414141415,United Kingdom,0.10353535353535354,0.648989898989899
17404.0,17404.0,0.0,28.0,46006.82,297.0,154.90511784511784,Sweden,0.016835016835016835,0.8720538720538721
12748.0,12748.0,0.0,365.0,45884.9,6479.0,7.082096002469517,United Kingdom,0.011575860472295108,0.07686371353603952
13881.0,13881.0,0.0,51.0,44392.5,467.0,95.05888650963597,United Kingdom,0.021413276231263382,0.7044967880085653
16705.0,16705.0,0.0,61.0,42653.141,722.0,59.07637257617729,United Kingdom,0.04293628808864266,0.4445983379501385
15039.0,15039.0,0.0,107.0,38420.83,2676.0,14.357559790732438,United Kingdom,0.006726457399103139,0.04970104633781764
12471.0,12471.0,0.0,129.0,37925.01,1294.0,29.308353941267388,Germany,0.12210200927357033,0.23724884080370942
