Customer ID,recency_days,frequency,monetary,total_quantity,avg_unit_price,first_purchase,last_purchase,distinct_products,return_rows,tenure_days,avg_order_value,purchase_freq_per_30d,clv_proxy,is_high_value,is_churned_90d,grain,oot_cutoff_date
12346.0,255,12,77556.46,74285,6.1000000000000005,2009-12-14 08:33:59.615999809,2011-01-18 10:00:59.903999956,27,0,400,6463.038333333334,0.8372093023255813,77556.46,1,1,customer,2011-09-30
12347.0,59,6,4114.18,2418,2.614666666666667,2010-10-31 14:19:59.808000285,2011-08-02 08:48:00.288000267,107,0,274,685.6966666666667,0.5921052631578948,4114.18,1,0,customer,2011-09-30
12348.0,5,5,2019.3999999999999,2714,3.7862745098039214,2010-09-27 14:59:00.383999930,2011-09-25 13:12:59.615999688,25,0,362,403.88,0.3826530612244898,2019.3999999999999,0,1,customer,2011-09-30
12349.0,337,3,2671.14,993,8.581764705882353,2010-04-29 13:20:00.384000060,2010-10-28 08:23:00.383999809,90,0,181,890.38,0.4265402843601896,2671.14,0,0,customer,2011-09-30
12350.0,240,1,334.40000000000003,197,3.841176470588235,2011-02-02 16:00:59.903999956,2011-02-02 16:00:59.903999956,17,0,0,334.40000000000003,1.0,334.40000000000003,0,1,customer,2011-09-30
12351.0,305,1,300.93,261,2.355238095238095,2010-11-29 15:22:59.808000034,2010-11-29 15:22:59.808000034,21,0,0,300.93,1.0,300.93,0,1,customer,2011-09-30
12352.0,2,9,2538.11,597,15.024772727272728,2010-11-12 10:20:00.384000060,2011-09-28 14:57:59.904000207,59,0,320,282.01222222222225,0.7714285714285715,2538.11,0,0,customer,2011-09-30
12353.0,134,2,406.76,212,2.6283333333333334,2010-10-27 12:44:00.383999930,2011-05-19 17:46:59.807999904,23,0,204,203.38,0.25641025641025644,406.76,0,1,customer,2011-09-30
12354.0,162,1,1079.4,530,4.5037931034482765,2011-04-21 13:11:00.384000190,2011-04-21 13:11:00.384000190,58,0,0,1079.4,1.0,1079.4,0,1,customer,2011-09-30
12355.0,144,2,947.61,543,3.069428571428572,2010-05-21 11:59:00.383999930,2011-05-09 13:48:59.615999809,35,0,353,473.805,0.15665796344647517,947.61,0,1,customer,2011-09-30
