Customer ID,recency_days,frequency,monetary,first_purchase,last_purchase,distinct_products,is_repeat_customer,high_value_customer
12346.0,326,12,77556.46,2009-12-14 08:33:59.615999809,2011-01-18 10:00:59.903999956,27,1,1
12347.0,2,8,5633.32,2010-10-31 14:19:59.808000285,2011-12-07 15:51:59.904000077,126,1,1
12348.0,75,5,2019.4,2010-09-27 14:59:00.383999930,2011-09-25 13:12:59.615999688,25,1,0
12349.0,19,4,4428.69,2010-04-29 13:20:00.384000060,2011-11-21 09:51:00.288000017,138,1,1
12350.0,310,1,334.4,2011-02-02 16:00:59.903999956,2011-02-02 16:00:59.903999956,17,0,0
12351.0,375,1,300.93,2010-11-29 15:22:59.808000034,2010-11-29 15:22:59.808000034,21,0,0
12352.0,36,10,2849.84,2010-11-12 10:20:00.384000060,2011-11-03 14:37:00.191999965,70,1,0
12353.0,204,2,406.76,2010-10-27 12:44:00.383999930,2011-05-19 17:46:59.807999904,23,1,0
12354.0,232,1,1079.4,2011-04-21 13:11:00.384000190,2011-04-21 13:11:00.384000190,58,0,0
12355.0,214,2,947.61,2010-05-21 11:59:00.383999930,2011-05-09 13:48:59.615999809,35,1,0
12356.0,23,6,6373.68,2010-10-11 09:42:00.288000138,2011-11-17 08:39:59.903999827,104,1,1
12357.0,33,3,18287.66,2010-11-16 10:05:00.096000172,2011-11-06 16:07:00.191999965,261,1,1
12358.0,2,5,3887.07,2009-12-08 07:59:00.096000043,2011-12-08 10:25:59.807999784,56,1,1
12359.0,58,10,8935.94,2009-12-05 13:32:00.095999792,2011-10-13 12:47:00.095999792,305,1,1
12360.0,52,8,4252.89,2010-02-22 09:31:59.807999904,2011-10-18 15:22:00.191999965,160,1,1
12361.0,287,4,511.25,2010-01-26 14:37:00.191999965,2011-02-25 13:50:59.712000241,18,1,0
12362.0,3,11,5356.23,2009-12-01 10:09:59.903999827,2011-12-06 15:40:00.191999714,201,1,1
12363.0,110,2,552.0,2011-04-11 13:29:00.383999930,2011-08-22 10:18:00.288000267,23,1,0
12364.0,8,4,1313.1,2011-08-19 15:24:00.287999758,2011-12-02 10:21:59.616000190,70,1,0
12365.0,291,2,641.38,2011-02-21 13:50:59.712000241,2011-02-21 14:03:59.903999706,22,1,0
12366.0,634,1,500.24,2010-03-16 10:27:59.904000207,2010-03-16 10:27:59.904000207,3,0,0
12367.0,4,1,168.9,2011-12-05 16:47:59.999999749,2011-12-05 16:47:59.999999749,11,0,0
12368.0,628,1,917.6999999999999,2010-03-21 15:56:00.096000293,2010-03-21 15:56:00.096000293,18,0,0
12369.0,413,3,1791.15,2010-03-08 08:08:59.711999982,2010-10-22 13:12:59.615999688,90,1,0
12370.0,51,7,4320.31,2010-02-09 09:40:59.807999784,2011-10-19 14:51:00.000000129,168,1,1
12371.0,45,5,4067.38,2010-03-04 18:22:59.808000034,2011-10-26 10:16:00.191999844,134,1,1
12372.0,72,3,1298.04,2011-02-16 12:45:59.616000069,2011-09-29 12:11:59.711999732,34,1,0
12373.0,311,3,1127.65,2010-02-04 12:08:00.383999809,2011-02-01 13:09:59.903999827,36,1,0
12374.0,25,4,2989.2200000000003,2010-04-30 14:01:00.191999844,2011-11-14 15:36:59.616000190,79,1,1
12375.0,11,2,457.5,2011-09-02 14:23:00.383999809,2011-11-29 10:36:00.288000017,14,1,0
12376.0,390,2,503.15,2010-10-18 08:42:00.000000250,2010-11-15 12:15:00.287999887,11,1,0
12377.0,315,4,3426.32,2010-04-29 15:33:59.903999706,2011-01-28 15:45:00.000000000,129,1,1
12378.0,130,2,5416.32,2010-05-26 14:06:59.616000190,2011-08-02 10:34:00.192000216,281,1,1
12379.0,82,4,1620.22,2010-06-23 12:49:00.192000216,2011-09-19 10:09:00.287999758,58,1,0
12380.0,22,11,9676.300000000001,2010-02-15 12:04:59.808000285,2011-11-18 11:26:59.711999732,156,1,1
12381.0,5,5,1845.31,2011-08-12 09:56:59.711999732,2011-12-05 12:44:00.383999930,70,1,0
12383.0,185,5,1850.56,2010-12-22 14:28:00.192000095,2011-06-08 08:01:59.807999904,84,1,0
12384.0,29,2,585.27,2011-08-10 11:23:00.383999809,2011-11-11 08:39:00.287999758,26,1,0
12385.0,379,1,1938.4,2010-11-25 15:13:59.808000155,2010-11-25 15:13:59.808000155,65,0,0
12386.0,338,2,660.8,2010-12-08 09:53:00.383999809,2011-01-06 12:36:59.616000190,10,1,0
12387.0,415,1,143.94,2010-10-20 16:27:00.288000138,2010-10-20 16:27:00.288000138,9,0,0
12388.0,16,8,3901.11,2010-05-06 12:53:59.999999870,2011-11-24 12:29:59.712000112,83,1,1
12389.0,403,3,1433.33,2010-02-22 10:14:59.712000112,2010-11-02 11:51:59.616000190,41,1,0
